,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std,,,normal,first,second,,,,,,,,,,,,,,,,
,CNNLSTM,0.598,0.033,0.802,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstLightningDistillation CNNLSTM,0.599,0.03,0.813,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondLightningDistillation CNNLSTM,0.619,0.039,0.807,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNNLSTM_padded,0.716,0.057,0.889,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation CNNLSTM_padded,0.728,0.064,0.883,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondLightningDistillation CNNLSTM_padded,0.718,0.062,0.899,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LSTM,0.58,0.036,0.789,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstLightningDistillation LSTM,0.585,0.032,0.789,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondLightningDistillation LSTM,0.583,0.04,0.793,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LSTM_padded,0.685,0.064,0.864,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation LSTM_padded,0.683,0.057,0.86,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation LSTM_padded,0.684,0.051,0.872,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_CNNLSTM,0.612,0.025,0.814,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_CNNLSTM,0.615,0.022,0.819,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_CNNLSTM,0.611,0.026,0.815,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_CNNLSTM_padded,0.717,0.057,0.877,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_CNNLSTM_padded,0.712,0.046,0.883,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_CNNLSTM_padded,0.71,0.066,0.882,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_LSTM,0.59,0.042,0.792,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_LSTM,0.591,0.039,0.8,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_LSTM,0.581,0.037,0.791,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCA_LSTM_padded,0.69,0.059,0.861,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation PCA_LSTM_padded,0.689,0.068,0.866,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation PCA_LSTM_padded,0.679,0.064,0.863,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,
