,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
28,g__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.2821059561935606,0.1069316299549701,0.18278312077559863,0.07926114612379552,0.8417784992784993,0.12148546839721124,0.7018480241298676,0.0018272647254209675,0.37811240783213595,0.09205901106291313
29,allergy_None_PCA_LSTM_padded_GAIN.pth,0.4331364041351927,0.12055327568368257,0.3831180453533395,0.22903008022746976,0.789004329004329,0.11879026886644269,0.6922849476337433,0.0044268222356546065,0.7520482912190427,0.07024173654931326
30,allergy_None_PCA_LSTM__mice.pth,0.4002153797351561,0.1463846809148123,0.32979871006186795,0.1549071511258423,0.8390007215007216,0.12259446175244962,0.6920952737331391,0.00466707693897854,0.7305306994465814,0.061556583653099094
31,_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.4195411757771221,0.1560033110878764,0.35127248895622254,0.20142321940875624,0.7794372294372296,0.12828549837582082,0.5543741345405578,0.023623725859242863,0.7120741749220073,0.099280984737388
32,g__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.2821059561935606,0.1069316299549701,0.18278312077559863,0.07926114612379552,0.8417784992784993,0.12148546839721124,0.7018480241298676,0.0018272647254209675,0.37811240783213595,0.09205901106291313
33,g_df___mmc7_None_PCA_LSTM_padded_None.pth,0.565325206242675,0.05193250097559968,0.46331168503732983,0.08545400375735221,0.8935975609756097,0.04969886264538748,0.6707186937332154,0.0020486371133378875,0.7663859309934562,0.0401771920243559
34,allergy_None_PCA_LSTM__GAIN.pth,0.4079994755846149,0.14813700052039458,0.35801999080771457,0.1730735570903932,0.8381709956709956,0.11915795801625137,0.6922397136688232,0.004455434215313043,0.7265239632038829,0.07702268621426962
35,allergy_None_PCA_LSTM_padded_mice.pth,0.43531423867586855,0.13250539480852563,0.39529642287537026,0.15951415380036357,0.8170598845598847,0.118036034508489,0.6922920048236847,0.004460217997831352,0.768442384017993,0.06162498604574422
36,g___transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.23017504417303214,0.13176190846770877,0.14214313406824725,0.08533661267150805,0.7112229437229438,0.2819070090376125,0.7691180109977722,0.018782317086697458,0.34437999040167233,0.12857901903549399
37,allergy_order__LSTM__mean.pth,0.4333692347070131,0.10200637179419424,0.3551211107732847,0.110130521704009,0.856424963924964,0.12559341769935484,0.6901174426078797,0.004572361758032931,0.7389029478285016,0.07283398302291015
38,____mmc7_None__CNNLSTM__None.pth,0.811818848711696,0.07186000330152584,0.8395580450251503,0.10365187938679656,0.9703658536585366,0.014514756896251714,0.6815730035305023,0.0014682975309633724,0.9625226892474718,0.03671815538230782
39,g_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.3874465597488458,0.15267890300336726,0.28524892112620304,0.12384032466958647,0.7527705627705628,0.12057473107840387,0.5658446311950683,0.01831520396394154,0.6943027101169829,0.08211115583305609
40,allergy_None__LSTM_padded_mice.pth,0.4341774369129343,0.15315353739912793,0.37163728273642066,0.14406245265033968,0.7697582972582973,0.1578334668701292,0.6663767337799072,0.008558334904634719,0.7136357993172756,0.10514299454614508
41,g_df_conpool__mmc7_None_PCA_LSTM_padded_None.pth,0.5135214705879547,0.07291119712416218,0.5534429619112118,0.08001561283555746,0.5472560975609757,0.13371556387573436,0.6917466819286346,0.002328284223450557,0.6572464492861392,0.06774931331032918
42,g____allergy_None__CNNLSTM_padded_None.pth,0.24892320323354805,0.11756651751746099,0.3420783304745569,0.24677117443070137,0.3441341991341992,0.2213194826346678,0.6792552590370178,0.007334341485810239,0.4947295792345054,0.1453123515770742
43,digiulio_None__CNNLSTM_padded_mean.pth,0.8,0.21794494717703367,0.8,0.21794494717703367,0.8,0.21794494717703367,0.6698463141918183,0.008358083550076669,,
44,__conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.38510868795774456,0.1435110870812077,0.35073269705346916,0.24582628039455498,0.856424963924964,0.12559341769935484,0.7004958629608155,0.0036439759451500128,0.6805779597349135,0.08810807084034428
