,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
65,allergy_order__CNNLSTM_padded_mean.pth,0.40256017,0.134662917,0.291047123,0.116340288,0.829278499,0.123832272,0.691682845,0.004379292,0.731263208,0.083624492
66,allergy_PCA_LSTM_padded_mice.pth,0.401925547,0.128806646,0.303808385,0.1098377,0.828369408,0.124675032,0.692277783,0.004433636,0.731663334,0.075211495
67,allergy_PCA_LSTM__mean.pth,0.410402557,0.12340016,0.360821866,0.202755503,0.850869408,0.122774143,0.692229635,0.004429289,0.732044792,0.091439739
68,allergy_PCA_LSTM__mice.pth,0.410402557,0.12340016,0.362881363,0.202717632,0.850869408,0.122774143,0.692229629,0.004429276,0.732044792,0.091439739
69,allergy_None__LSTM__None.pth,0.452888744,0.14465328,0.528553391,0.244673385,0.804512987,0.124333478,0.666344231,0.008467122,0.732073089,0.081378192
70,allergy_PCA_LSTM__None.pth,0.415252926,0.138704338,0.35038612,0.198354725,0.831778499,0.12039223,0.692455614,0.004450803,0.733173402,0.082242601
71,allergy_order__LSTM_padded_mice.pth,0.410615977,0.127541893,0.358635621,0.140831683,0.856424964,0.125593418,0.690117669,0.004541967,0.734475449,0.064225543
72,allergy_order__LSTM_padded_mean.pth,0.412467829,0.128952901,0.377187657,0.150731146,0.856424964,0.125593418,0.690117675,0.004541967,0.735260846,0.064229627
73,allergy_order__LSTM__mean.pth,0.433369235,0.102006372,0.355121111,0.110130522,0.856424964,0.125593418,0.690117443,0.004572362,0.738902948,0.072833983
74,allergy_order__LSTM__mice.pth,0.433369235,0.102006372,0.355121111,0.110130522,0.856424964,0.125593418,0.690117443,0.004572362,0.738902948,0.072833983
75,allergy_order__LSTM__None.pth,0.433369235,0.102006372,0.355121111,0.110130522,0.856424964,0.125593418,0.690117443,0.004572362,0.738902948,0.072833983
76,allergy_order__CNNLSTM__mice.pth,0.407320599,0.130570764,0.289799551,0.108105299,0.829278499,0.123832272,0.691682845,0.004379292,0.742165818,0.070564536
77,allergy_order__CNNLSTM_padded_mice.pth,0.407320599,0.130570764,0.289799551,0.108105299,0.829278499,0.123832272,0.691682845,0.004379292,0.742165818,0.070564536
78,allergy__CNNLSTM__None.pth,0.428921202,0.126831598,0.524559885,0.266154133,0.834202742,0.124017129,0.679624122,0.007326432,0.750763274,0.082135216
79,allergy__CNNLSTM_padded_None.pth,0.428921202,0.126831598,0.524559885,0.266154133,0.834202742,0.124017129,0.679624122,0.007326432,0.750763274,0.082135216
80,allergy_None_PCA_LSTM_padded_GAIN.pth,0.433136404,0.120553276,0.383118045,0.22903008,0.789004329,0.118790269,0.692284948,0.004426822,0.752048291,0.070241737
81,allergy_PCA_LSTM_padded_None.pth,0.433966593,0.121175581,0.383118045,0.22903008,0.789004329,0.118790269,0.692284948,0.004426822,0.752479326,0.071108577
82,allergy_None_PCA_LSTM_padded_None.pth,0.435275385,0.121957728,0.337718625,0.113330966,0.806147186,0.12050218,0.691936773,0.004343144,0.752774752,0.081658372
83,allergy_None_PCA_LSTM__None.pth,0.404072283,0.140826105,0.303392748,0.139552738,0.834635642,0.118228608,0.691978997,0.004613143,0.75408917,0.05855158
84,allergy_None__CNNLSTM__GAIN.pth,0.427059347,0.103303172,0.475817384,0.21016349,0.834202742,0.124017129,0.67962411,0.007326432,0.755815519,0.090262881
85,allergy_None__CNNLSTM_padded_GAIN.pth,0.427059347,0.103303172,0.475817384,0.21016349,0.834202742,0.124017129,0.67962411,0.007326432,0.755815519,0.090262881
86,allergy_phylum__CNNLSTM_padded_GAIN.pth,0.427059347,0.103303172,0.475817384,0.21016349,0.834202742,0.124017129,0.67962411,0.007326432,0.755815519,0.090262881
87,allergy_order__CNNLSTM__None.pth,0.416069369,0.125472406,0.310061054,0.107310135,0.843726551,0.120094317,0.691604847,0.004344363,0.758342744,0.05949046
88,allergy_order__CNNLSTM_padded_None.pth,0.416069369,0.125472406,0.310061054,0.107310135,0.843726551,0.120094317,0.691604847,0.004344363,0.758342744,0.05949046
89,allergy_None_PCA_LSTM_padded_mice.pth,0.435314239,0.132505395,0.395296423,0.159514154,0.817059885,0.118036035,0.692292005,0.004460218,0.768442384,0.061624986
90,allergy_None_PCA_LSTM_padded_mean.pth,0.433499723,0.130613557,0.395296423,0.159514154,0.817059885,0.118036035,0.692291981,0.00446021,0.768682769,0.061529061
91,allergy_None__CNNLSTM__None.pth,0.474547571,0.110225946,0.569722222,0.247395227,0.827059885,0.120379848,0.679255259,0.007334341,0.770800799,0.095974763
92,allergy_None__CNNLSTM_padded_None.pth,0.474547571,0.110225946,0.569722222,0.247395227,0.827059885,0.120379848,0.679255259,0.007334341,0.770800799,0.095974763
93,digiulio_None__CNNLSTM__mean.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
94,digiulio_None__CNNLSTM__mice.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
95,digiulio_None__CNNLSTM__None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.669837672,0.008362926,,
96,digiulio_None__CNNLSTM_padded_mean.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
97,digiulio_None__CNNLSTM_padded_mice.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
98,digiulio_None__CNNLSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.669837672,0.008362926,,
99,digiulio_None__LSTM__mean.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712750709,0.006725217,,
100,digiulio_None__LSTM__mice.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712750709,0.006725217,,
101,digiulio_None__LSTM__None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712750709,0.006725217,,
102,digiulio_None__LSTM_padded_mean.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712791157,0.006775147,,
103,digiulio_None__LSTM_padded_mice.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712791157,0.006775147,,
104,digiulio_None__LSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712850809,0.006796714,,
105,digiulio_None_PCA_CNNLSTM__mean.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
106,digiulio_None_PCA_CNNLSTM__mice.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
107,digiulio_None_PCA_CNNLSTM__None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.686276543,0.002416619,,
108,digiulio_None_PCA_CNNLSTM_padded_mean.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
109,digiulio_None_PCA_CNNLSTM_padded_mice.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
