model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
g_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
g_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.38744656,0.152678903,0.285248921,0.123840325,0.752770563,0.120574731,0.565844631,0.018315204,0.69430271,0.082111156
_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
_df_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.389513382,0.152344355,0.279581255,0.117462298,0.75991342,0.124370712,0.552976042,0.020535854,0.700742276,0.079357492
transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.41073585,0.154060305,0.332159368,0.152277619,0.796580087,0.119056387,0.6147035,0.008708383,0.704182043,0.081394732
___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
